mode,mode_label,metric,completed_workloads_only,n,mean,std,min,max,timed_out_repetitions_excluded
all-hot,All-HOT,completed_sessions,False,3.0,68.66666666666667,1.5275252316519468,67.0,70.0,0
all-hot,All-HOT,completed_requests,False,3.0,153.0,5.5677643628300215,147.0,158.0,0
all-hot,All-HOT,completion_rate_pct,False,3.0,55.63636363636363,2.0246415864836447,53.45454545454545,57.45454545454545,0
all-hot,All-HOT,time_to_last_completed_turn_s,False,3.0,26.817632518087823,4.1911060767003185,21.97816296480596,29.241947501897812,0
all-hot,All-HOT,generated_tokens,False,3.0,2281.6666666666665,52.91817583149795,2224.0,2328.0,0
all-hot,All-HOT,service_window_duration_s,False,3.0,600.0322741344571,0.008835035985396138,600.0223549641669,600.0392990056425,0
all-hot,All-HOT,requests_per_second_completed_workload,True,0.0,,,,,3
all-hot,All-HOT,output_tokens_per_second_completed_workload,True,0.0,,,,,3
all-hot,All-HOT,ttft_p50_s,True,0.0,,,,,3
all-hot,All-HOT,ttft_p95_s,True,0.0,,,,,3
all-hot,All-HOT,resumed_ttft_p50_s,True,0.0,,,,,3
all-hot,All-HOT,resumed_ttft_p95_s,True,0.0,,,,,3
all-hot,All-HOT,latency_p50_s,True,0.0,,,,,3
all-hot,All-HOT,latency_p95_s,True,0.0,,,,,3
all-hot,All-HOT,resumed_latency_p50_s,True,0.0,,,,,3
all-hot,All-HOT,resumed_latency_p95_s,True,0.0,,,,,3
mixed,Mixed,completed_sessions,False,3.0,125.0,0.0,125.0,125.0,0
mixed,Mixed,completed_requests,False,3.0,275.0,0.0,275.0,275.0,0
mixed,Mixed,completion_rate_pct,False,3.0,100.0,0.0,100.0,100.0,0
mixed,Mixed,time_to_last_completed_turn_s,False,3.0,151.66269903009137,0.04536385339296017,151.62479945085943,151.71296328306198,0
mixed,Mixed,generated_tokens,False,3.0,4150.0,0.0,4150.0,4150.0,0
mixed,Mixed,service_window_duration_s,False,3.0,151.66269903009137,0.04536385339296017,151.62479945085943,151.71296328306198,0
mixed,Mixed,requests_per_second_completed_workload,True,3.0,1.813234355969388,0.0005422954318258481,1.812633502431248,1.8136874772198834,0
mixed,Mixed,output_tokens_per_second_completed_workload,True,3.0,27.363354826447125,0.00818373106209999,27.354287400326108,27.370192838045515,0
mixed,Mixed,ttft_p50_s,True,3.0,2.9801809222747884,0.04808770264841447,2.927632810547948,3.021993611007929,0
mixed,Mixed,ttft_p95_s,True,3.0,24.258732941622537,0.18901575872961898,24.08099171333015,24.457298582419753,0
mixed,Mixed,resumed_ttft_p50_s,True,3.0,0.7625635868559281,0.025486561410736727,0.7475387584418058,0.7919907383620739,0
mixed,Mixed,resumed_ttft_p95_s,True,3.0,25.70251819677651,0.25112033503254233,25.54657832160592,25.99220371991396,0
mixed,Mixed,latency_p50_s,True,3.0,6.804213754832745,0.05898488495046098,6.736489292234182,6.84434212744236,0
mixed,Mixed,latency_p95_s,True,3.0,25.464094093690317,0.573910550627356,24.825501585379243,25.936762530356646,0
mixed,Mixed,resumed_latency_p50_s,True,3.0,1.4790373537689447,0.028190324948973253,1.4547170735895634,1.5099348202347755,0
mixed,Mixed,resumed_latency_p95_s,True,3.0,26.455965287983418,0.02501654056203761,26.430932564660907,26.480965614318848,0
