table,metric,all_hot,mixed,paired
quality,questions,100.0,100.0,
quality,completed,100.0,100.0,
quality,failed,0.0,0.0,
quality,timed_out,0.0,0.0,
quality,extraction_success,99.0,99.0,
quality,extraction_failures,1.0,1.0,
quality,incorrect_extracted_answers,47.0,45.0,
quality,exact_match,52.0,54.0,
quality,exact_match_rate,0.52,0.54,
performance,generated_tokens,15669.0,15728.0,
performance,avg_generated_tokens,156.69,157.28,
performance,log_wall_seconds,904.0,1007.0,
performance,avg_log_wall_seconds_per_question,9.04,10.07,
performance,peak_gpu_allocated_GiB,4.862485408782959,4.885472774505615,
performance,peak_gpu_reserved_GiB,5.005859375,5.072265625,
performance,warm_kv_storage_GiB,0.0,0.90234375,
performance,peak_warm_blocks,0.0,364.0,
pairing,identical_token_sequence,,,49.0
pairing,identical_extracted_answer,,,81.0
pairing,different_text_same_extracted_answer,,,33.0
pairing,different_extracted_answer,,,18.0
pairing,both_correct,,,49.0
pairing,both_incorrect,,,42.0
pairing,only_all_hot_correct,,,3.0
pairing,only_mixed_correct,,,5.0
pairing,both_extraction_failure,,,1.0
pairing,all_hot_extraction_failure,,,0.0
pairing,mixed_extraction_failure,,,0.0
