run_label,repetition,mode,mode_label,workload_family,workload_size,completed_run,num_gpu_blocks,hot_bytes,warm_bytes,hot_to_warm_map_bytes,warm_slot_table_bytes,metadata_bytes,total_persistent_kv_bytes,configured_kv_budget_bytes,budget_slack_bytes,hot_warm_metadata_sum_bytes,sum_matches_total,computed_slack_bytes,within_recorded_slack,hot_GiB,warm_GiB,metadata_GiB,total_GiB,budget_GiB
full_text_8k_cap32/budget_3_5g/boundary_100,1,all-hot,All-HOT,capacity_boundary,100,True,2048,3758096384,0,0,0,0,3758096384,3758096384,0,3758096384,True,0,True,3.5,0.0,0.0,3.5,3.5
full_text_8k_cap32/budget_3_5g/boundary_100,1,mixed,Mixed,capacity_boundary,100,True,1517,2783707136,968884224,169904,4718592,4888496,3757479856,3758096384,616528,3757479856,True,616528,True,2.592529296875,0.90234375,0.004552766680717468,3.4994258135557175,3.5
full_text_8k_cap32/budget_3_5g/boundary_125,1,all-hot,All-HOT,capacity_boundary,125,False,2048,3758096384,0,0,0,0,3758096384,3758096384,0,3758096384,True,0,True,3.5,0.0,0.0,3.5,3.5
full_text_8k_cap32/budget_3_5g/boundary_125,1,mixed,Mixed,capacity_boundary,125,True,1517,2783707136,968884224,169904,4718592,4888496,3757479856,3758096384,616528,3757479856,True,616528,True,2.592529296875,0.90234375,0.004552766680717468,3.4994258135557175,3.5
full_text_8k_cap32/budget_3_5g/boundary_125_rep2,2,all-hot,All-HOT,capacity_boundary,125,False,2048,3758096384,0,0,0,0,3758096384,3758096384,0,3758096384,True,0,True,3.5,0.0,0.0,3.5,3.5
full_text_8k_cap32/budget_3_5g/boundary_125_rep2,2,mixed,Mixed,capacity_boundary,125,True,1517,2783707136,968884224,169904,4718592,4888496,3757479856,3758096384,616528,3757479856,True,616528,True,2.592529296875,0.90234375,0.004552766680717468,3.4994258135557175,3.5
full_text_8k_cap32/budget_3_5g/boundary_125_rep3,3,all-hot,All-HOT,capacity_boundary,125,False,2048,3758096384,0,0,0,0,3758096384,3758096384,0,3758096384,True,0,True,3.5,0.0,0.0,3.5,3.5
full_text_8k_cap32/budget_3_5g/boundary_125_rep3,3,mixed,Mixed,capacity_boundary,125,True,1517,2783707136,968884224,169904,4718592,4888496,3757479856,3758096384,616528,3757479856,True,616528,True,2.592529296875,0.90234375,0.004552766680717468,3.4994258135557175,3.5
full_text_8k_cap32/budget_3_5g/boundary_150,1,all-hot,All-HOT,capacity_boundary,150,False,2048,3758096384,0,0,0,0,3758096384,3758096384,0,3758096384,True,0,True,3.5,0.0,0.0,3.5,3.5
full_text_8k_cap32/budget_3_5g/boundary_150,1,mixed,Mixed,capacity_boundary,150,False,1517,2783707136,968884224,169904,4718592,4888496,3757479856,3758096384,616528,3757479856,True,616528,True,2.592529296875,0.90234375,0.004552766680717468,3.4994258135557175,3.5
full_text_8k_cap32/budget_3_5g/final_01_no_prefix_cache,1,all-hot,All-HOT,full_trace_overload,16328,False,2048,3758096384,0,0,0,0,3758096384,3758096384,0,3758096384,True,0,True,3.5,0.0,0.0,3.5,3.5
full_text_8k_cap32/budget_3_5g/final_01_no_prefix_cache,1,mixed,Mixed,full_trace_overload,16328,False,1517,2783707136,968884224,169904,4718592,4888496,3757479856,3758096384,616528,3757479856,True,616528,True,2.592529296875,0.90234375,0.004552766680717468,3.4994258135557175,3.5
