kv_cache_dtype,dataset,dataset_index,example_id,reported_length,length_bucket,prompt_tokens,output_tokens,generation_time_seconds,output_tokens_per_second,total_tokens_per_second,finish_reason
auto,qasper_e,0,b26174d8ec97e8d01421548d3a640e8382db6235eb506661,3411,4K-8K,4396,51,3.416888,14.9259,1301.4765,stop
auto,qasper_e,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,3732,4K-8K,4803,18,2.453602,7.3362,1964.8667,stop
auto,qasper_e,2,ebfe29b14637ff245ca9117167c10d252b21c64aa484e871,3544,4K-8K,4889,36,3.155529,11.4085,1560.7525,stop
auto,qasper_e,3,f4dd3a0b7e956fadae8f49e07a6ef1c6e90a315d21969a76,3224,4K-8K,4522,27,2.557241,10.5583,1778.8704,stop
auto,qasper_e,4,e5d1d589ddb30f43547012f04b06ac2924a1f4fdcf56daab,2284,2K-4K,3391,18,1.56315,11.5152,2180.8521,stop
auto,qasper_e,5,81fafbdc90dfc4c0ea443de35ee84e7423d8971a66f27a09,3843,4K-8K,5303,3,2.255642,1.33,2352.3239,stop
auto,qasper_e,6,bcfe56efad9715cc714ffd2e523eaa9ad796a453e7da77a6,2317,2K-4K,3706,3,1.179909,2.5426,3143.462,stop
auto,qasper_e,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,2720,2K-4K,3564,31,2.126239,14.5797,1690.7787,stop
auto,qasper_e,8,d3944ab2d7e6cb9d6f722987f0406aa0aa01c8ace8608a89,2890,4K-8K,4098,29,2.371318,12.2295,1740.3827,stop
auto,qasper_e,9,13e1dbbe70ad33f26ac4d63352332ab577dbdf318691ace0,3198,4K-8K,4343,9,1.816854,4.9536,2395.3496,stop
auto,qasper_e,10,14ee47ba1692905a1a19d0ea0d07143d75ba33030668f927,3039,4K-8K,4216,15,1.937402,7.7423,2183.8528,stop
auto,qasper_e,11,d317e4799402ebdb0a7b6e80fa58ca1074d86a15403492af,3845,4K-8K,5302,2,2.233965,0.8953,2374.2535,stop
auto,qasper_e,12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,3815,4K-8K,5456,52,4.31944,12.0386,1275.1652,stop
auto,qasper_e,13,2dd2de242f407468d7b403c1835dc62579f875dd09a00801,3178,4K-8K,4532,28,2.687226,10.4197,1696.917,stop
auto,qasper_e,14,b66b3c973729802d35f81fa66a7dbb1b846445856909a378,3880,4K-8K,5120,39,3.558531,10.9596,1449.7554,stop
auto,qasper_e,15,4528fad5e57b98d3022a13b580bd4daa018c7129c12d50ea,3612,4K-8K,5108,42,3.570535,11.7629,1442.3607,stop
auto,qasper_e,16,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,3409,4K-8K,5332,9,2.524234,3.5654,2115.8894,stop
auto,qasper_e,17,e7af1912d971eeb3c7f5f96c5440ef649b96bda636efa14d,3366,4K-8K,4401,59,3.676934,16.046,1212.9671,stop
auto,qasper_e,18,0e6d9eaa143bb2a251695d6cc0556c5e03f25ccbb56a171f,1644,2K-4K,2260,20,1.183226,16.9029,1926.9355,stop
auto,qasper_e,19,bd1fcb1c0f33cf6bc44554bff4ec86fed2a4fc90e8d18cdf,2836,4K-8K,4307,13,1.924089,6.7564,2245.2184,stop
auto,qasper_e,20,b0bc5483c009536bf3dcf582b3b2015d4db13aaf81df8c9a,3885,4K-8K,5708,6,2.735173,2.1936,2089.0814,stop
auto,qasper_e,21,e877b03879e4db0ccc7618230cad71590dadd808fc7a8152,3831,4K-8K,5111,21,2.81712,7.4544,1821.7188,stop
auto,qasper_e,22,b7eb32148f033ee9882d1096f1b0a2f75b4e4a05308c7292,2250,2K-4K,3108,47,2.492425,18.8571,1265.8352,stop
auto,qasper_e,23,11697ce7f07d6badb6224d68ed40229693b66941ed3a156d,2838,4K-8K,4310,20,2.203426,9.0768,1965.122,stop
auto,qasper_e,24,c483210fc867c15f41b696d521b983cdcf41c2062e6ac3fb,3381,4K-8K,4791,91,5.118221,17.7796,953.8471,stop
auto,qasper_e,25,2a51c07e65a9214ed2cd3c04303afa205e005f4e1ccb172a,3852,4K-8K,5615,3,2.605758,1.1513,2155.9943,stop
auto,qasper_e,26,867b7b94ee2ae6051131ca90ebc66df6ba3084f4bb3bdda8,1822,2K-4K,2299,29,1.500816,19.3228,1551.1558,stop
auto,qasper_e,27,38b265f4caee01966b67dca127276d17f640322b7a11b3f4,2077,2K-4K,3090,11,1.167364,9.4229,2656.4126,stop
auto,qasper_e,28,c21ac70b9fefd1be0058d56b0eaa81d065271558b901364a,2992,2K-4K,3967,16,1.825563,8.7644,2181.7923,stop
auto,qasper_e,29,45104af27b1eaf72961c861eeae1013869612e3d5f258927,2255,2K-4K,3111,97,4.319055,22.4586,742.7551,stop
auto,qasper_e,30,7de339432271d1324e9ea25f6321364528c6fd2f8ea2e3d1,3372,4K-8K,4399,23,2.424743,9.4855,1823.6981,stop
auto,qasper_e,31,eca9924a93084bb987fc705af683806564fa2d04e9dba909,3181,4K-8K,4533,31,2.830735,10.9512,1612.3021,stop
auto,qasper_e,32,d1aa1132439bd292965634095bf1c9943e062bb6645ff78c,3307,4K-8K,4449,43,3.118983,13.7865,1440.2132,stop
auto,qasper_e,33,54797939fdd2089aeb0c4242e660b2ff1914538839e9a21e,2424,2K-4K,3621,56,3.090446,18.1204,1189.7959,stop
auto,qasper_e,34,e2a3009e3e15b0e45552a4ab0c593e027e64acf190b2903b,3302,4K-8K,4636,27,2.712989,9.9521,1718.7688,stop
auto,qasper_e,35,a98bc410d113f968de393f3da14435b31b34a8ce2ccec169,3158,4K-8K,4243,3,1.522779,1.9701,2788.324,stop
auto,qasper_e,36,86d091f9a2a36e97ae2f587ff9e1beb3e41c34862d70451e,3570,4K-8K,4919,62,4.185366,14.8135,1190.099,stop
auto,qasper_e,37,a533586fadb3dbf78a61381a0f040d993ae1d5cd3e66b98d,3820,4K-8K,5025,12,2.457502,4.883,2049.642,stop
auto,qasper_e,38,861cbf67995653276e955ddb68584eb35263f970a710c86c,3722,4K-8K,5137,20,2.797526,7.1492,1843.4142,stop
auto,qasper_e,39,ca6ab28a7624b35d6e14bdd51a24f6cba93df17b033a0945,1561,0-2K,2034,46,2.02439,22.7229,1027.4698,stop
auto,qasper_e,40,689421214f9b71be11d80ef9ae68b49974a8bd7e4313cd58,2091,2K-4K,2916,24,1.566749,15.3183,1876.4968,stop
auto,qasper_e,41,57825167e9b5b23b2f03e2675d9c7e96814b6785975b5dff,3405,4K-8K,5323,73,4.888317,14.9336,1103.8565,stop
auto,qasper_e,42,c5692a8d9bf0880f0cb4d893511e2b9245a914f828cebcf6,2009,2K-4K,3229,95,4.352416,21.827,763.7138,stop
auto,qasper_e,43,ba8b9314903599bb79e4a4148ebae6ae59c5d717a1a2a936,1899,2K-4K,2697,3,0.755135,3.9728,3575.5205,stop
auto,qasper_e,44,b1e77f6928aff3baafd48d7674dc39bd72293dce6956dbde,2150,2K-4K,3016,33,1.943415,16.9804,1568.8875,stop
auto,qasper_e,45,c0f67594ed1d5ba890abd05585f849a4bdde9f30e9054ea8,2895,2K-4K,4088,17,1.939696,8.7643,2116.3114,stop
