kv_cache_dtype,dataset,dataset_index,example_id,reported_length,length_bucket,prompt_tokens,output_tokens,generation_time_seconds,output_tokens_per_second,total_tokens_per_second,finish_reason
int8_per_token_head,qasper_e,0,b26174d8ec97e8d01421548d3a640e8382db6235eb506661,3411,4K-8K,4396,47,3.150302,14.9192,1410.3411,stop
int8_per_token_head,qasper_e,1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,3732,4K-8K,4803,18,2.333828,7.7127,2065.705,stop
int8_per_token_head,qasper_e,2,ebfe29b14637ff245ca9117167c10d252b21c64aa484e871,3544,4K-8K,4889,16,2.327527,6.8742,2107.3872,stop
int8_per_token_head,qasper_e,3,f4dd3a0b7e956fadae8f49e07a6ef1c6e90a315d21969a76,3224,4K-8K,4522,27,2.460804,10.972,1848.5829,stop
int8_per_token_head,qasper_e,4,e5d1d589ddb30f43547012f04b06ac2924a1f4fdcf56daab,2284,2K-4K,3391,15,1.403153,10.6902,2427.391,stop
int8_per_token_head,qasper_e,5,81fafbdc90dfc4c0ea443de35ee84e7423d8971a66f27a09,3843,4K-8K,5303,10,2.428875,4.1171,2187.4329,stop
int8_per_token_head,qasper_e,6,bcfe56efad9715cc714ffd2e523eaa9ad796a453e7da77a6,2317,2K-4K,3706,3,1.140367,2.6307,3252.4631,stop
int8_per_token_head,qasper_e,7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,2720,2K-4K,3564,26,1.861095,13.9703,1928.9723,stop
int8_per_token_head,qasper_e,8,d3944ab2d7e6cb9d6f722987f0406aa0aa01c8ace8608a89,2890,4K-8K,4098,40,2.646802,15.1126,1563.3963,stop
int8_per_token_head,qasper_e,9,13e1dbbe70ad33f26ac4d63352332ab577dbdf318691ace0,3198,4K-8K,4343,9,1.727412,5.2101,2519.3756,stop
int8_per_token_head,qasper_e,10,14ee47ba1692905a1a19d0ea0d07143d75ba33030668f927,3039,4K-8K,4216,15,1.855428,8.0844,2280.3364,stop
int8_per_token_head,qasper_e,11,d317e4799402ebdb0a7b6e80fa58ca1074d86a15403492af,3845,4K-8K,5302,9,2.402315,3.7464,2210.7841,stop
int8_per_token_head,qasper_e,12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,3815,4K-8K,5456,52,4.074432,12.7625,1351.8447,stop
int8_per_token_head,qasper_e,13,2dd2de242f407468d7b403c1835dc62579f875dd09a00801,3178,4K-8K,4532,34,2.72515,12.4764,1675.5039,stop
int8_per_token_head,qasper_e,14,b66b3c973729802d35f81fa66a7dbb1b846445856909a378,3880,4K-8K,5120,38,3.287063,11.5605,1569.182,stop
int8_per_token_head,qasper_e,15,4528fad5e57b98d3022a13b580bd4daa018c7129c12d50ea,3612,4K-8K,5108,40,3.348428,11.9459,1537.4377,stop
int8_per_token_head,qasper_e,16,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,3409,4K-8K,5332,9,2.44784,3.6767,2181.9237,stop
int8_per_token_head,qasper_e,17,e7af1912d971eeb3c7f5f96c5440ef649b96bda636efa14d,3366,4K-8K,4401,64,3.706993,17.2647,1204.4803,stop
int8_per_token_head,qasper_e,18,0e6d9eaa143bb2a251695d6cc0556c5e03f25ccbb56a171f,1644,2K-4K,2260,20,1.162057,17.2109,1962.0382,stop
int8_per_token_head,qasper_e,19,bd1fcb1c0f33cf6bc44554bff4ec86fed2a4fc90e8d18cdf,2836,4K-8K,4307,21,2.133307,9.8439,2028.7754,stop
int8_per_token_head,qasper_e,20,b0bc5483c009536bf3dcf582b3b2015d4db13aaf81df8c9a,3885,4K-8K,5708,6,2.646085,2.2675,2159.4169,stop
int8_per_token_head,qasper_e,21,e877b03879e4db0ccc7618230cad71590dadd808fc7a8152,3831,4K-8K,5111,65,4.255454,15.2745,1216.3215,stop
int8_per_token_head,qasper_e,22,b7eb32148f033ee9882d1096f1b0a2f75b4e4a05308c7292,2250,2K-4K,3108,29,1.782241,16.2717,1760.144,stop
int8_per_token_head,qasper_e,23,11697ce7f07d6badb6224d68ed40229693b66941ed3a156d,2838,4K-8K,4310,36,2.644222,13.6146,1643.5836,stop
int8_per_token_head,qasper_e,24,c483210fc867c15f41b696d521b983cdcf41c2062e6ac3fb,3381,4K-8K,4791,38,3.088139,12.3051,1563.7249,stop
int8_per_token_head,qasper_e,25,2a51c07e65a9214ed2cd3c04303afa205e005f4e1ccb172a,3852,4K-8K,5615,4,2.517038,1.5892,2232.3856,stop
int8_per_token_head,qasper_e,26,867b7b94ee2ae6051131ca90ebc66df6ba3084f4bb3bdda8,1822,2K-4K,2299,57,2.39445,23.8051,983.9421,stop
int8_per_token_head,qasper_e,27,38b265f4caee01966b67dca127276d17f640322b7a11b3f4,2077,2K-4K,3090,11,1.164128,9.4491,2663.7967,stop
int8_per_token_head,qasper_e,28,c21ac70b9fefd1be0058d56b0eaa81d065271558b901364a,2992,2K-4K,3967,16,1.788615,8.9455,2226.8623,stop
int8_per_token_head,qasper_e,29,45104af27b1eaf72961c861eeae1013869612e3d5f258927,2255,2K-4K,3111,27,1.702238,15.8615,1843.456,stop
int8_per_token_head,qasper_e,30,7de339432271d1324e9ea25f6321364528c6fd2f8ea2e3d1,3372,4K-8K,4399,23,2.270714,10.129,1947.4054,stop
int8_per_token_head,qasper_e,31,eca9924a93084bb987fc705af683806564fa2d04e9dba909,3181,4K-8K,4533,30,2.613627,11.4783,1745.8496,stop
