index,id,reported_length,prompt_tokens,bucket,answer_count
0,b26174d8ec97e8d01421548d3a640e8382db6235eb506661,3411,4396,4K-8K,2
1,8e5e6c35689e17e9f50df76ada506a4c05be9ed081c883d4,3732,4803,4K-8K,1
2,ebfe29b14637ff245ca9117167c10d252b21c64aa484e871,3544,4889,4K-8K,2
3,f4dd3a0b7e956fadae8f49e07a6ef1c6e90a315d21969a76,3224,4522,4K-8K,1
4,e5d1d589ddb30f43547012f04b06ac2924a1f4fdcf56daab,2284,3391,2K-4K,2
5,81fafbdc90dfc4c0ea443de35ee84e7423d8971a66f27a09,3843,5303,4K-8K,1
6,bcfe56efad9715cc714ffd2e523eaa9ad796a453e7da77a6,2317,3706,2K-4K,2
7,1bd9a082bd7b5ab6c152dbda3db38c0c3bc92cddf82383a3,2720,3564,2K-4K,2
8,d3944ab2d7e6cb9d6f722987f0406aa0aa01c8ace8608a89,2890,4098,4K-8K,2
9,13e1dbbe70ad33f26ac4d63352332ab577dbdf318691ace0,3198,4343,4K-8K,2
10,14ee47ba1692905a1a19d0ea0d07143d75ba33030668f927,3039,4216,4K-8K,2
11,d317e4799402ebdb0a7b6e80fa58ca1074d86a15403492af,3845,5302,4K-8K,2
12,a3db996005cb6103e9e3a8d19712c6866285e0df89a1b264,3815,5456,4K-8K,2
13,2dd2de242f407468d7b403c1835dc62579f875dd09a00801,3178,4532,4K-8K,2
14,b66b3c973729802d35f81fa66a7dbb1b846445856909a378,3880,5120,4K-8K,1
15,4528fad5e57b98d3022a13b580bd4daa018c7129c12d50ea,3612,5108,4K-8K,2
16,4ec441a68f88d757c758ad09d9c710c7af94895bb544f3b6,3409,5332,4K-8K,1
17,e7af1912d971eeb3c7f5f96c5440ef649b96bda636efa14d,3366,4401,4K-8K,2
18,0e6d9eaa143bb2a251695d6cc0556c5e03f25ccbb56a171f,1644,2260,2K-4K,2
19,bd1fcb1c0f33cf6bc44554bff4ec86fed2a4fc90e8d18cdf,2836,4307,4K-8K,2
20,b0bc5483c009536bf3dcf582b3b2015d4db13aaf81df8c9a,3885,5708,4K-8K,1
21,e877b03879e4db0ccc7618230cad71590dadd808fc7a8152,3831,5111,4K-8K,2
22,b7eb32148f033ee9882d1096f1b0a2f75b4e4a05308c7292,2250,3108,2K-4K,3
23,11697ce7f07d6badb6224d68ed40229693b66941ed3a156d,2838,4310,4K-8K,2
24,c483210fc867c15f41b696d521b983cdcf41c2062e6ac3fb,3381,4791,4K-8K,1
25,2a51c07e65a9214ed2cd3c04303afa205e005f4e1ccb172a,3852,5615,4K-8K,2
